"mouse_gene","human_gene"
"Dll1","DLL1"
"Lgmn","LGMN"
"Tle5","TLE5"
"Cfp","CFP"
"Has3","HAS3"
"Hnf1a","HNF1A"
"Gfap","GFAP"
"Afap1l1","AFAP1L1"
"Aff1","AFF1"
"Parvb","PARVB"
"Apoa2","APOA2"
"Agr3","AGR3"
"Gatm","GATM"
"Acan","ACAN"
"Agfg1","AGFG1"
"Agl","AGL"
"Igfbp7","IGFBP7"
"Ago1","AGO1"
"Ago2","AGO2"
"Ago3","AGO3"
"Ago4","AGO4"
"Gpat4","GPAT4"
"Gpat3","GPAT3"
"Agrn","AGRN"
"Agrp","AGRP"
"Agtr1b","AGTR1"
"Aplnr","APLNR"
"Agxt","AGXT"
"Etnppl","ETNPPL"
"Ahcyl2","AHCYL2"
"Ahr","AHR"
"Ahrr","AHRR"
"Ahsa1","AHSA1"
"Ahsa2","AHSA2P"
"Ahsg","AHSG"
"Tgfb1","TGFB1"
"Naxe","NAXE"
"Yjefn3","YJEFN3"
"Aicda","AICDA"
"Aifm1","AIFM1"
"Aif1l","AIF1L"
"Slc45a2","SLC45A2"
"Crybg1","CRYBG1"
"Crybg2","CRYBG2"
"Aimp1","AIMP1"
"Aipl1","AIPL1"
"Wdr75","WDR75"
"Wdr55","WDR55"
"Ak4","AK4"
"Ak4","AK4P3"
"Ak7","AK7"
"Akap1","AKAP1"
"Akap12","AKAP12"
"Ak9","AK9"
"Hsp90aa1","HSP90AA1"
"Hsp90aa1","HSP90AA4P"
"Akr1a1","AKR1A1"
"Akr1b7","AKR1B10"
"Akr1b7","AKR1B15"
"Akr1b10","AKR1B10"
"Akr1b10","AKR1B15"
"Akr1b8","AKR1B10"
"Akr1b8","AKR1B15"
"Akr1b1","AKR1B1"
"Efna5","EFNA5"
"Alas2","ALAS2"
"Alas1","ALAS1"
"Alcam","ALCAM"
"Aldh1b1","ALDH1B1"
"Aldh2","ALDH2"
"Aldh3a1","ALDH3A1"
"Aldh3a2","ALDH3A2"
"Aldh3b2","ALDH3B2"
"Aldh3b1","ALDH3B1"
"Aldh3b3","ALDH3B2"
"Aldh9a1","ALDH9A1"
"Aldoa","ALDOA"
"Aldoc","ALDOC"
"Kcnk5","KCNK5"
"Rnf121","RNF121"
"Cops2","COPS2"
"Acvrl1","ACVRL1"
"Bmpr1a","BMPR1A"
"Tgfbr1","TGFBR1"
"Bmpr1b","BMPR1B"
"Paf1","PAF1"
"Lmx1b","LMX1B"
"Alox12","ALOX12"
"Alox15","ALOX15"
"Alox8","ALOX15B"
"Alox12b","ALOX12B"
"Aloxe3","ALOXE3"
"Alox5","ALOX5"
"Alpl","ALPL"
"Pdlim3","PDLIM3"
"Gbgt1","GBGT1"
"Col1a1","COL1A1"
"Col1a2","COL1A2"
"Sptan1","SPTAN1"
"H2-Ea","HLA-DRA"
"H2-Aa","HLA-DQA1"
"H2-Aa","HLA-DQA2"
"Chn1","CHN1"
"Napa","NAPA"
"Akp3","ALPG"
"Akp3","ALPI"
"Akp3","ALPP"
"Alppl2","ALPG"
"Alppl2","ALPI"
"Alppl2","ALPP"
"Alpi","ALPG"
"Alpi","ALPI"
"Alpi","ALPP"
"Gfer","GFER"
"Als2","ALS2"
"Tmem237","TMEM237"
"Carf","CARF"
"Vsx2","VSX2"
"Alx4","ALX4"
"Vwa2","VWA2"
"Ambp","AMBP"
"Amfr","AMFR"
"Myh6","MYH6"
"Runx1","RUNX1"
"Amotl2","AMOTL2"
"Ampd2","AMPD2"
"Ampd3","AMPD3"
"Prkaa1","PRKAA1"
"Prkaa2","PRKAA2"
"Dcaf7","DCAF7"
"Wdhd1","WDHD1"
"Nppa","NPPA"
"Hesx1","HESX1"
"Sapcd2","SAPCD2"
"Angpt1","ANGPT1"
"Angpt2","ANGPT2"
"Vps51","VPS51"
"Angptl1","ANGPTL1"
"Angptl2","ANGPTL2"
"Ank1","ANK1"
"Ank2","ANK2"
"Ank3","ANK3"
"Ankfn1","ANKFN1"
"Ank","ANKH"
"Ankib1","ANKIB1"
"Ankmy2","ANKMY2"
"Ankrd10","ANKRD10"
"Ankrd13a","ANKRD13A"
"Kank1","KANK1"
"Ankrd26","ANKRD26"
"Ankrd28","ANKRD28"
"Ankrd33","ANKRD33"
"Ankrd33b","ANKRD33B"
"Sowaha","SOWAHA"
"Ankrd46","ANKRD46"
"Ankrd52","ANKRD52"
"Sowahd","SOWAHD"
"Ankef1","ANKEF1"
"Ankrd6","ANKRD6"
"Nusap1","NUSAP1"
"Ano1","ANO1"
"Ano10","ANO10"
"Ano2","ANO2"
"Anpep","ANPEP"
"Serpinc1","SERPINC1"
"Lefty2","LEFTY2"
"Lefty1","LEFTY1"
"Antxr1","ANTXR1"
"Zfand4","ZFAND4"
"Anxa5","ANXA5"
"Anxa3","ANXA3"
"Kdm1a","KDM1A"
"Aox3","AOX3P"
"Aox2","AOX2P"
"Aox1","AOX1"
"Tfap2a","TFAP2A"
"Tfap2b","TFAP2B"
"Ap2m1","AP2M1"
"Ap3b1","AP3B1"
"Ap4b1","AP4B1"
"Apba1","APBA1"
"Apba2","APBA2"
"Apbb2","APBB2"
"Speg","SPEG"
"Atg3","ATG3"
"Atg4b","ATG4B"
"Atg4c","ATG4C"
"Atg5","ATG5"
"Api5","API5"
"Cenps","CENPS"
"Cenps","CENPS-CORT"
"Prkci","PRKCI"
"Aplp1","APLP1"
"Apobec2","APOBEC2"
"Apoa1","APOA1"
"Apoa4","APOA4"
"Apob","APOB"
"Apod","APOD"
"Apoe","APOE"
"Lrp8","LRP8"
"Apoo","APOO"
"Coa8","COA8"
"Pycard","PYCARD"
"App","APP"
"Nae1","NAE1"
"Tnfsf13","TNFSF13"
"Mip","MIP"
"Aqp11","AQP11"
"Aqp1","AQP1"
"Aqp3","AQP3"
"Aqp8","AQP8"
"Aqp9","AQP9"
"Cyp19a1","CYP19A1"
"Ar","AR"
"Rnf14","RNF14"
"Slc25a12","SLC25A12"
"Rplp0","RPLP0"
"Rplp0","RPLP0P6"
"Arcn1","ARCN1"
"Naa11","NAA11"
"Naa10","NAA10"
"Arf1","ARF1"
"Arf2","ARF2P"
"Arf3","ARF3"
"Arf6","ARF6"
"Pparg","PPARG"
"Avp","AVP"
"Arglu1","ARGLU1"
"Sorbs2","SORBS2"
"Rhoa","RHOA"
"Rnd3","RND3"
"Arhgap12","ARHGAP12"
"Arhgap22","ARHGAP22"
"Arhgap23","ARHGAP23"
"Arhgap29","ARHGAP29"
"Arhgap35","ARHGAP35"
"Arhgap44","ARHGAP44"
"Arhgap45","ARHGAP45"
"Arhgap36","ARHGAP36"
"Arhgap6","ARHGAP6"
"Arhgef1","ARHGEF1"
"Arhgef2","ARHGEF2"
"Arhgef10l","ARHGEF10L"
"Arhgef15","ARHGEF15"
"Arhgef18","ARHGEF18"
"Arhgef28","ARHGEF28"
"Arhgef37","ARHGEF37"
"Arhgef7","ARHGEF7"
"Arhgef9","ARHGEF9"
"Rnd2","RND2"
"Rnd1","RND1"
"Tomm20","TOMM20"
"Arid5a","ARID5A"
"Phox2a","PHOX2A"
"Arl8b","ARL8B"
"Arl15","ARL15"
"Arl13b","ARL13B"
"Arl3","ARL3"
"Arl4a","ARL4A"
"Arl6ip1","ARL6IP1"
"Atl2","ATL2"
"Arl6ip5","ARL6IP5"
"Arl5b","ARL5B"
"Odad2","ODAD2"
"Armt1","DCPH1"
"Arnt","ARNT"
"Arnt2","ARNT2"
"Bmal1","BMAL1"
"Bmal2","BMAL2"
"Ddc","DDC"
"Arpc5","ARPC5"
"Arpc5l","ARPC5L"
"Arpp19","ARPP19"
"Arr3","ARR3"
"Arrb2","ARRB2"
"Arrdc1","ARRDC1"
"Arrb1","ARRB1"
"Arrdc3","ARRDC3"
"Sag","SAG"
"Srrt","SRRT"
"Arsi","ARSI"
"Arx","ARX"
"Asah1","ASAH1"
"Asap1","ASAP1"
"Asb12","ASB12"
"Asb13","ASB13"
"Asb14","ASB14"
"Asf1b","ASF1B"
"Asf1a","ASF1A"
"Asb2","ASB2"
"Asb5","ASB5"
"Slc10a2","SLC10A2"
"Mgl2","CLEC10A"
"Clec10a","CLEC10A"
"Asgr2","ASGR2"
"Asgr1","ASGR1"
"Ascl1","ASCL1"
"Pard3","PARD3"
"a","ASIP"
"Map3k5","MAP3K5"
"Lhfpl5","LHFPL5"
"Get3","GET3"
"Aspn","ASPN"
"Trp53bp2","TP53BP2"
"Ass1","ASS1"
"Robo2","ROBO2"
"Aste1","ASTE1"
"Slc17a8","SLC17A8"
"Ints13","INTS13"
"Atad1","ATAD1"
"Atad3a","ATAD3A"
"Atad3a","ATAD3B"
"Atad3a","ATAD3C"
"Prr15l","PRR15L"
"Ubqln4","UBQLN4"
"Dtd2","DTD2"
"Atf2","ATF2"
"Atf4","ATF4"
"Pnpla2","PNPLA2"
"Atoh1","ATOH1"
"Atoh7","ATOH7"
"Pgghg","PGGHG"
"Dtna","DTNA"
"Neurod6","NEUROD6"
"Neurog3","NEUROG3"
"Atp1a1","ATP1A1"
"Atp1b2","ATP1B2"
"Atp1b3","ATP1B3"
"Atp2a2","ATP2A2"
"Atp2b3","ATP2B3"
"Atp5f1a","ATP5F1A"
"Atp5f1b","ATP5F1B"
"Atp5f1c","ATP5F1C"
"Atp5f1d","ATP5F1D"
"Atp5f1e","ATP5F1E"
"Atp5f1e","ATP5F1EP2"
"Atp5pb","ATP5PB"
"Atp5mc3","ATP5MC3"
"Atp5mc1","ATP5MC1"
"Atp5pd","ATP5PD"
"Atp5me","ATP5ME"
"Atp5pf","ATP5PF"
"Atp5mf","ATP5MF"
"Atp5mj","ATP5MJ"
"Atp5po","ATP5PO"
"Dmac2l","DMAC2L"
"mt-Atp6","ATP6"
"Atp6ap1","ATP6AP1"
"Atp6ap1l","ATP6AP1L"
"Atp6v1e2","ATP6V1E2"
"Atp6v1e1","ATP6V1E1"
"Atp6v0c","ATP6V0C"
"Atp6v0a1","ATP6V0A1"
"Atp6v0e","ATP6V0E1"
"Atp6v1a","ATP6V1A"
"Atp6v1b2","ATP6V1B2"
"Atp6v1c1","ATP6V1C1"
"Atp1a2","ATP1A2"
"Atp1a3","ATP1A3"
"Gpn2","GPN2"
"Gpn3","GPN3"
"Dph6","DPH6"
"Atp5if1","ATP5IF1"
"Antkmt","ANTKMT"
"Aldh7a1","ALDH7A1"
"Antxr2","ANTXR2"
"Atrnl1","ATRNL1"
"Fbxo32","FBXO32"
"Rere","RERE"
"Enpp2","ENPP2"
"Atxn1","ATXN1"
"Atxn7l2","ATXN7L2"
"Atxn7l3","ATXN7L3"
"Alkal2","ALKAL2"
"Alkal1","ALKAL1"
"Thrsp","THRSP"
"Aurkb","AURKB"
"Aurkc","AURKC"
"Auts2","AUTS2"
"Dnajc6","DNAJC6"
"Avpr1a","AVPR1A"
"Avpr2","AVPR2"
"Zfand6","ZFAND6"
"Foxa2","FOXA2"
"Axin2","AXIN2"
"Marchf7","MARCHF7"
"Csrnp1","CSRNP1"
"Lpcat1","LPCAT1"
"Glra1","GLRA1"
"Glra4","GLRA4"
"Cep131","CEP131"
"Azin1","AZIN1"
"Oaz1","OAZ1"
"Oaz2","OAZ2"
"B3galt1","B3GALT1"
"B3glct","B3GLCT"
"B3gat1","B3GAT1"
"B4gat1","B4GAT1"
"B3gnt3","B3GNT3"
"B3gnt5","B3GNT5"
"B3gntl1","QTGAL"
"B4galnt2","B4GALNT2"
"Hbb-bh2","HBB"
"Hbb-bh2","HBD"
"Hbb-y","HBE1"
"Baalc","BAALC"
"Bace2","BACE2"
"Bach1","BACH1"
"Bach2","BACH2"
"Otop1","OTOP1"
"Bad","BAD"
"Itga3","ITGA3"
"Smarcc2","SMARCC2"
"Actl6a","ACTL6A"
"Smarce1","SMARCE1"
"Smarcd1","SMARCD1"
"Tnfsf13b","TNFSF13B"
"Bahcc1","BAHCC1"
"Adgrb1","ADGRB1"
"Adgrb2","ADGRB2"
"Adgrb3","ADGRB3"
"Magi1","MAGI1"
"Baiap2l1","BAIAP2L1"
"Baiap2l2","BAIAP2L2"
"Chat","CHAT"
"Lama1","LAMA1"
"Bambi","BAMBI"
"Stom","STOM"
"Glrb","GLRB"
"Cse1l","CSE1L"
"Heatr1","HEATR1"
"Nkx3-2","NKX3-2"
"Ubiad1","UBIAD1"
"Barhl1","BARHL1"
"Cel","CEL"
"Ddx39b","DDX39B"
"Bag6","BAG6"
"Abhd16b","ABHD16B"
"Abhd16a","ABHD16A"
"Ehmt2","EHMT2"
"Bax","BAX"
"Gapdhrt2","GAPDH"
"Gapdhrt","GAPDH"
"Gapdh","GAPDH"
"Rpl7","RPL7"
"Bbip1","BBIP1"
"Bbof1","BBOF1"
"Mapkapk2","MAPKAPK2"
"Trim32","TRIM32"
"Arl6","ARL6"
"Mkks","MKKS"
"Ttc8","TTC8"
"Blcap","BLCAP"
"Chmp2a","CHMP2A"
"Phb2","PHB2"
"Mepce","MEPCE"
"Bco1","BCO1"
"Bco2","BCO2"
"Ckb","CKB"
"Bcl11a","BCL11A"
"Bcl11b","BCL11B"
"Bcl2","BCL2"
"Bcl2l1","BCL2L1"
"Bcl6","BCL6"
"Bcl7b","BCL7B"
"Bcl9l","BCL9L"
"Bdkrb1","BDKRB1"
"Dll3","DLL3"
"Itga5","ITGA5"
"Lhx2","LHX2"
"Psmb6","PSMB6"
"Itgb1","ITGB1"
"Psmb9","PSMB9"
"Psmb7","PSMB7"
"Psmb10","PSMB10"
"Neurod1","NEUROD1"
"Bhlhe22","BHLHE22"
"Bhlhe23","BHLHE23"
"Psmb5","PSMB5"
"Psmb8","PSMB8"
"Psmb11","PSMB11"
"H2-Eb2","HLA-DRB1"
"H2-Eb2","HLA-DRB3"
"H2-Eb2","HLA-DRB4"
"H2-Eb2","HLA-DRB5"
"H2-Ab1","HLA-DQB1"
"H2-Ab1","HLA-DQB2"
"H2-Ob","HLA-DOB"
"Napb","NAPB"
"Cfb","CFB"
"Foxg1","FOXG1"
"Fabp7","FABP7"
"Adgrg6","ADGRG6"
"Bgn","BGN"
"Bhlhe40","BHLHE40"
"Bhlhe41","BHLHE41"
"Bhlha15","BHLHA15"
"Tmbim6","TMBIM6"
"Cdh2","CDH2"
"Bicdl1","BICDL1"
"Bicc1","BICC1"
"Bicd2","BICD2"
"Bid","BID"
"Tgfbi","TGFBI"
"Klf17","KLF17"
"Bcl2l11","BCL2L11"
"Bin1","BIN1"
"Bin2","BIN2"
"Zbtb22","ZBTB22"
"Myl12b","MYL12A"
"Myl12b","MYL12B"
"Wdr46","WDR46"
"Hspa5","HSPA5"
"Slc12a7","SLC12A7"
"Birc3","BIRC3"
"Birc2","BIRC2"
"Xiap","BIRC8"
"Xiap","XIAP"
"Frem2","FREM2"
"Slc37a2","SLC37A2"
"Prdm1","PRDM1"
"Ptch1","PTCH1"
"Ptch2","PTCH2"
"Ltb4r1","LTB4R"
"Ltb4r2","LTB4R2"
"Blk","BLK"
"Slc17a6","SLC17A6"
"Kat6a","KAT6A"
"Bmi1","BMI1"
"Bmi1","COMMD3-BMI1"
"Bmp10","BMP10"
"Gdf11","GDF11"
"Gdf7","GDF7"
"Gdf6","GDF6"
"Gdf5","GDF5"
"Bmp2","BMP2"
"Gdf10","GDF10"
"Bmp4","BMP4"
"Bmp5","BMP5"
"Bmp7","BMP7"
"Bmp8a","BMP8A"
"Bmp8a","BMP8B"
"Gdf2","GDF2"
"Bms1","BMS1"
"Samtor","SAMTOR"
"Mybl2","MYBL2"
"Bnip3l","BNIP3L"
"Atcay","ATCAY"
"Bnc2","BNC2"
"Nppb","NPPB"
"Bok","BOK"
"Mixl1","MIXL1"
"Ifitm5","IFITM5"
"Bcl2l10","BCL2L10"
"Extl3","EXTL3"
"Dst","DST"
"T","TBXT"
"Smarca4","SMARCA4"
"Zmynd11","ZMYND11"
"Uqcc6","UQCC6"
"Ptbp1","PTBP1"
"Brd1","BRD1"
"Brd2","BRD2"
"Brd8","BRD8"
"Kcnh6","KCNH6"
"Babam2","BABAM2"
"Brf1","BRF1"
"Brinp3","BRINP3"
"Brms1l","BRMS1L"
"Pou3f3","POU3F3"
"Pou3f2","POU3F2"
"Pou4f1","POU4F1"
"Pou4f3","POU4F3"
"Pou4f2","POU4F2"
"Tbc1d32","TBC1D32"
"Vwc2","VWC2"
"Vwc2l","VWC2L"
"Hgh1","HGH1"
"Mpc2","MPC2"
"Trp53","TP53"
"Brpf3","BRPF3"
"Mpped2","MPPED2"
"H2-Eb1","HLA-DRB1"
"H2-Eb1","HLA-DRB3"
"H2-Eb1","HLA-DRB4"
"H2-Eb1","HLA-DRB5"
"Celf1","CELF1"
"Celf5","CELF5"
"Apmap","APMAP"
"Abcb11","ABCB11"
"Bsn","BSN"
"Sptb","SPTB"
"Slx4","SLX4"
"Btbd2","BTBD2"
"Btbd3","BTBD3"
"Btbd6","BTBD6"
"Klf9","KLF9"
"Btg1","BTG1"
"Btg2","BTG2"
"Dtnb","DTNB"
"Trim65","TRIM65"
"Trim29","TRIM29"
"Fbxw11","FBXW11"
"Sp5","SP5"
"Prkd2","PRKD2"
"Dctn1","DCTN1"
"Sec24d","SEC24D"
"Popdc1","POPDC1"
"B2m","B2M"
"Phlda3","PHLDA3"
"Rpf2","RPF2"
"Rpf1","RPF1"
"Hoxb9","HOXB9"
"Hoxc9","HOXC9"
"Tspo","TSPO"
"Tspo2","TSPO2"
"Bzw1","BZW1"
"Cfap298","CFAP298"
"Lrmda","LRMDA"
"Mcmbp","MCMBP"
"Ado","ADO"
"Cdc123","CDC123"
"Tmem258","TMEM258"
"Tmem9b","TMEM9B"
"Aamdc","AAMDC"
"Myrf","MYRF"
"Rassf8","RASSF8"
"Tigar","TIGAR"
"C9orf72","C9orf72"
"Uspl1","USPL1"
"Gm614","CXorf65"
"Nrde2","NRDE2"
"Eapp","EAPP"
"Dglucy","DGLUCY"
"Rsl24d1","RSL24D1"
"Pagr1a","PAGR1"
"Cfap161","CFAP161"
"Vps9d1","VPS9D1"
"Airim","AIRIM"
"1600014C10Rik","C19orf12"
"Swsap1","SWSAP1"
"C1galt1","C1GALT1"
"Serping1","SERPING1"
"Odr4","ODR4"
"Ildr2","ILDR2"
"Ciart","CIART"
"Caprin2","CAPRIN2"
"C1qtnf12","C1QTNF12"
"C1ql3","C1QL3"
"C1ql1","C1QL1"
"C1qtnf6","C1QTNF6"
"C1qtnf9","C1QTNF9"
"C1qtnf9","C1QTNF9B"
"Amacr","AMACR"
"C1qtnf4","C1QTNF4"
"Slc22a4","SLC22A4"
"Slc22a21","SLC22A5"
"Slc22a5","SLC22A5"
"Cfap206","CFAP206"
"Gid8","GID8"
"Mtcl2","MTCL2"
"Fitm2","FITM2"
"Ppdpf","PPDPF"
"Chmp4b","CHMP4B"
"Chmp4b","CHMP4BP1"
"Mrgbp","MRGBP"
"Prelid3b","PRELID3B"
"C2cd4d","C2CD4D"
"C2cd4a","C2CD4A"
"C2cd4b","C2CD4B"
"Gcnt4","GCNT4"
"Cnppd1","CNPPD1"
"Dcaf17","DCAF17"
"Pcare","PCARE"
"C3","C3"
"E130311K13Rik","C3orf33"
"Hhatl","HHATL"
"Dipk2a","DIPK2A"
"Eogt","EOGT"
"2510009E07Rik","C3orf70"
"C4b","C4A"
"C4b","C4B"
"C4b","C4B_2"
"D3Ertd751e","C4orf33"
"Trappc11","TRAPPC11"
"Nop14","NOP14"
"Chst11","CHST11"
"Chst12","CHST12"
"Mtrfr","MTRFR"
"C6","C6"
"Abracl","ABRACL"
"Nkap","NKAP"
"Nkapl","NKAPL"
"Vta1","VTA1"
"Sft2d1","SFT2D1"
"Ltv1","LTV1"
"C7","C7"
"1700066M21Rik","C2orf69"
"Rpp25l","RPP25L"
"Ptprz1","PTPRZ1"
"Car2","CA2"
"Car13","CA13"
"Car1","CA1"
"Car3","CA3"
"Car4","CA4"
"Car5b","CA5B"
"Car5a","CA5A"
"Cacnb2","CACNB2"
"Cacnb3","CACNB3"
"Cacnb4","CACNB4"
"Cabp1","CABP1"
"Cabp4","CABP4"
"Cabp7","CABP7"
"Caln1","CALN1"
"Cacna1a","CACNA1A"
"Cacna1b","CACNA1B"
"Cacna1d","CACNA1D"
"Cacna1f","CACNA1F"
"Cacna1i","CACNA1I"
"Cacna1s","CACNA1S"
"Cacna2d2","CACNA2D2"
"Cacna2d4","CACNA2D4"
"Cacng1","CACNG1"
"Cacng2","CACNG2"
"Cacng3","CACNG3"
"Cacng4","CACNG4"
"Dffb","DFFB"
"Cald1","CALD1"
"Cdx4","CDX4"
"Cdh23","CDH23"
"Cdh5","CDH5"
"Cadps","CADPS"
"Lama2","LAMA2"
"Chaf1b","CHAF1B"
"Pdia4","PDIA4"
"Atp7a","ATP7A"
"Calb2","CALB2"
"Calca","CALCA"
"Calcb","CALCB"
"Calcoco1","CALCOCO1"
"Calcrl","CALCRL"
"Calhm1","CALHM1"
"Calhm2","CALHM2"
"Calhm4","CALHM4"
"Rnpc3","RNPC3"
"Calm1","CALM1"
"Calm3","CALM3"
"Calm2","CALM2"
"Calml4","CALML4"
"Calr","CALR"
"Calr3","CALR3"
"Calu","CALU"
"Chl1","CHL1"
"Nat8b-ps","NAT8"
"Nat8f7","NAT8"
"Nat8f7","NAT8B"
"Nat8f6","NAT8"
"Nat8f6","NAT8B"
"Nat8f1","NAT8"
"Nat8f3","NAT8"
"Nat8f3","NAT8B"
"Nat8f5","NAT8"
"Nat8f4","NAT8"
"Nat8f2","NAT8"
"Nat8","NAT8"
"Nat8","NAT8B"
"Gch1","GCH1"
"Camk1d","CAMK1D"
"Camk1g","CAMK1G"
"Camk2a","CAMK2A"
"Camk2b","CAMK2B"
"Camk2d","CAMK2D"
"Camk2g","CAMK2G"
"Camk2n1","CAMK2N1"
"Camk2n2","CAMK2N2"
"Camkk1","CAMKK1"
"Ppm1f","PPM1F"
"Ppm1e","PPM1E"
"Camsap1","CAMSAP1"
"Camsap2","CAMSAP2"
"Camta1","CAMTA1"
"Cnpy3","CNPY3"
"Cant1","CANT1"
"Clgn","CLGN"
"Ncapd2","NCAPD2"
"Capg","CAPG"
"Capn11","CAPN11"
"Capn1","CAPN1"
