"mouse_gene","human_gene"
"Nfatc3","NFATC3"
"Prkca","PRKCA"
"Cpm","CPM"
"Cfh","CFH"
"Stard13","STARD13"
"Dcbld2","DCBLD2"
"Spock1","SPOCK1"
"Prkg1","PRKG1"
"Kcnh1","KCNH1"
"Kcnip4","KCNIP4"
"Kcnj2","KCNJ2"
"Kcnk2","KCNK2"
"Kcnt2","KCNT2"
"Kitl","KITLG"
"Klf5","KLF5"
"Enc1","ENC1"
"Mafb","MAFB"
"Kctd12","KCTD12"
"Lingo2","LINGO2"
"Lmo3","LMO3"
"Plcb4","PLCB4"
"Smad3","SMAD3"
"Maml2","MAML2"
"Mylip","MYLIP"
"Ncam2","NCAM2"
"Neurl1a","NEURL1"
"Notch2","NOTCH2"
"Npnt","NPNT"
"Ntng1","NTNG1"
"Olfm3","OLFM3"
"Olfml3","OLFML3"
"Osbpl3","OSBPL3"
"Pbx3","PBX3"
"Ryr2","RYR2"
"Pdzrn3","PDZRN3"
"Pip5k1b","PIP5K1B"
"Plcb1","PLCB1"
"Cdh4","CDH4"
"Rims1","RIMS1"
"S1pr3","S1PR3"
"Dock4","DOCK4"
"Sox13","SOX13"
"Myo16","MYO16"
"Flrt2","FLRT2"
"Scd1","SCD"
"Tal1","TAL1"
"Scn5a","SCN5A"
"Sema3a","SEMA3A"
"Setd7","SETD7"
"Sh3bp4","SH3BP4"
"Zfp385b","ZNF385B"
"Ptprr","PTPRR"
"Zfp536","ZNF536"
"Dnah5","DNAH5"
"Trabd2b","TRABD2B"
"Srgap1","SRGAP1"
"Tenm2","TENM2"
"Man2a1","MAN2A1"
"Sntb2","SNTB2"
"Tcerg1l","TCERG1L"
"Dennd1b","DENND1B"
"Dlgap2","DLGAP2"
"Zdhhc14","ZDHHC14"
"Pag1","PAG1"
"Sorcs3","SORCS3"
"Nek10","NEK10"
"Lrguk","LRGUK"
"Syt2","SYT2"
"Wdfy3","WDFY3"
"Nyap2","NYAP2"
"Car10","CA10"
"Nphp4","NPHP4"
"Prdm8","PRDM8"
"Usp46","USP46"
"B3galt5","B3GALT5"
"Tshz3","TSHZ3"
"Lifr","LIFR"
"Arhgap25","ARHGAP25"
"Zmat4","ZMAT4"
"Plcl1","PLCL1"
"Fgd6","FGD6"
"Hivep1","HIVEP1"
"Ust","UST"
"Akap13","AKAP13"
"Trpm3","TRPM3"
"Neurl1b","NEURL1B"
"Atp10d","ATP10D"
"Epb41l4b","EPB41L4B"
"Sdk1","SDK1"
"Kcnh7","KCNH7"
"Megf11","MEGF11"
"Kcnd2","KCND2"
"Maml3","MAML3"
"Spata13","SPATA13"
"Pdzd2","PDZD2"
"Prag1","PRAG1"
"Pde3a","PDE3A"
"Ccser1","CCSER1"
"Chst15","CHST15"
"Arhgap31","ARHGAP31"
"Kcng1","KCNG1"
"Ubr4","UBR4"
"Fmn1","FMN1"
"Zfp365","ZNF365"
"Unc5d","UNC5D"
"Stum","STUM"
"Gabrd","GABRD"
"Wasf1","WASF1"
"Slc2a13","SLC2A13"
"Dcc","DCC"
"Tead1","TEAD1"
"Tiam1","TIAM1"
"Tmem200c","TMEM200C"
"Dlc1","DLC1"
"Pom121","POM121"
"Pom121","POM121B"
"Pom121","POM121C"
"Slc38a6","SLC38A6"
"Sema5a","SEMA5A"
"St6galnac3","ST6GALNAC3"
"Crim1","CRIM1"
"Ctdspl","CTDSPL"
"Ets2","ETS2"
"Ak5","AK5"
"Bmp3","BMP3"
"Nexn","NEXN"
"Fhl2","FHL2"
"Cdh6","CDH6"
"Gfra1","GFRA1"
"Lypla1","LYPLA1"
"Slit3","SLIT3"
"Cap2","CAP2"
"Gsg1l","GSG1L"
"Itgav","ITGAV"
"Hlf","HLF"
"Ppm1l","PPM1L"
"Cntn4","CNTN4"
"Pter","PTER"
"Rbms3","RBMS3"
"Ptpro","PTPRO"
"Fbxl7","FBXL7"
"Cdk14","CDK14"
"Adrb1","ADRB1"
"Itga9","ITGA9"
"Myof","MYOF"
"Cdh8","CDH8"
"Nfatc2","NFATC2"
"Tanc1","TANC1"
"Szt2","SZT2"
"Cd46","CD46"
"D630045J12Rik","KIAA1549"
"Hrh1","HRH1"
"Samd4","SAMD4A"
"Col4a2","COL4A2"
"Chst8","CHST8"
"Pcdh17","PCDH17"
"Raver2","RAVER2"
"Nlgn1","NLGN1"
"Chn2","CHN2"
"Dpy19l3","DPY19L3"
"Rassf3","RASSF3"
"Ptprg","PTPRG"
"Phactr1","PHACTR1"
"Cacng5","CACNG5"
"Kcnj6","KCNJ6"
"Shroom3","SHROOM3"
"Zfp608","ZNF608"
"Mcc","MCC"
"Akap5","AKAP5"
"Amigo2","AMIGO2"
"Ankrd63","ANKRD63"
"Cdh24","CDH24"
"Cdkl4","CDKL4"
"Col25a1","COL25A1"
"Cpne6","CPNE6"
"Crybg3","CRYBG3"
"Dgkg","DGKG"
"Ephb1","EPHB1"
"Fam13b","FAM13B"
"Fbxl16","FBXL16"
"Fndc1","FNDC1"
"Gpr6","GPR6"
"Hipk4","HIPK4"
"Irak2","IRAK2"
"Klhl34","KLHL34"
"Lrrc26","LRRC26"
"Lrrc8b","LRRC8B"
"Lrrtm3","LRRTM3"
"Lrrtm4","LRRTM4"
"Lypd1","LYPD1"
"Man1c1","MAN1C1"
"Mast4","MAST4"
"Mtcl1","MTCL1"
"Nqo2","NQO2"
"Peg10","PEG10"
"Pitpnm2","PITPNM2"
"Plagl1","PLAGL1"
"Ptpn14","PTPN14"
"Ramp3","RAMP3"
"Rasgef1c","RASGEF1C"
"Rps6ka2","RPS6KA2"
"Rtl8a","RTL8A"
"Rtl8a","RTL8B"
"Rtl8a","RTL8C"
"Samd5","SAMD5"
"Sidt1","SIDT1"
"St6galnac5","ST6GALNAC5"
"Synj2","SYNJ2"
"Synpo","SYNPO"
"Tceal1","TCEAL1"
"Tle4","TLE4"
"Tmem8b","TMEM8B"
"Trerf1","TRERF1"
"Ttc39b","TTC39B"
"Zbtb7c","ZBTB7C"
"Zfp804a","ZNF804A"
