"mouse_gene","human_gene"
"Tgfbr2","TGFBR2"
"Id4","ID4"
"Sipa1l1","SIPA1L1"
"Dmd","DMD"
"Msi1","MSI1"
"Selenop","SELENOP"
"Cetn4","CETN4P"
"Dynll2","DYNLL2"
"Ggcx","GGCX"
"Psap","PSAP"
"Gstm1","GSTM1"
"Gstm1","GSTM5"
"Otx1","OTX1"
"Add1","ADD1"
"Rdh10","RDH10"
"Zic3","ZIC3"
"Mtr","MTR"
"Zic2","ZIC2"
"Tsc22d2","TSC22D2"
"Tfe3","TFE3"
"Abat","ABAT"
"Tead3","TEAD3"
"Prickle2","PRICKLE2"
"Sall1","SALL1"
"Rab32","RAB32"
"Slc43a2","SLC43A2"
"Lmna","LMNA"
"Rgs12","RGS12"
"Flnb","FLNB"
"Lrig1","LRIG1"
"Crebbp","CREBBP"
"Ccdc120","CCDC120"
"Ccl7","CCL7"
"Ccl2","CCL2"
"Ccnd2","CCND2"
"Ccne1","CCNE1"
"Ccr9","CCR9"
"Ackr4","ACKR4"
"Cd36","CD36"
"Cd81","CD81"
"Cdh26","CDH26"
"Cdh11","CDH11"
"Celsr1","CELSR1"
"Celsr2","CELSR2"
"Cep170b","CEP170B"
"Cp","CP"
"Thra","THRA"
"Nhsl1","NHSL1"
"Crtc1","CRTC1"
"Slc6a8","SLC6A8"
"Mlxip","MLXIP"
"Chrna4","CHRNA4"
"Chrnb2","CHRNB2"
"Nid2","NID2"
"Gpc4","GPC4"
"Vps18","VPS18"
"Cic","CIC"
"Cdkn1a","CDKN1A"
"Cit","CIT"
"Jun","JUN"
"Clcn2","CLCN2"
"Clcn5","CLCN5"
"Tmem47","TMEM47"
"Clic5","CLIC5"
"Clip1","CLIP1"
"Tpp1","TPP1"
"Cln6","CLN6"
"Clstn2","CLSTN2"
"Maf","MAF"
"Cmya5","CMYA5"
"Myc","MYC"
"Plk3","PLK3"
"Cnksr2","CNKSR2"
"Cnot3","CNOT3"
"Cntn3","CNTN3"
"Cntnap4","CNTNAP4"
"Cobll1","COBLL1"
"Col5a3","COL5A3"
"Col11a1","COL11A1"
"Col28a1","COL28A1"
"Col5a2","COL5A2"
"Col22a1","COL22A1"
"Nr2f1","NR2F1"
"Cpeb4","CPEB4"
"Cplx2","CPLX2"
"Cpt1a","CPT1A"
"Cpt1c","CPT1C"
"Fam131b","FAM131B"
"Crmp1","CRMP1"
"Cryab","CRYAB"
"Cryba1","CRYBA1"
"Csdc2","CSDC2"
"Csf1","CSF1"
"Csmd1","CSMD1"
"Ctdnep1","CTDNEP1"
"Ccn2","CCN2"
"Ctnnd2","CTNND2"
"Cux1","CUX1"
"Cux2","CUX2"
"Gja1","GJA1"
"Gja5","GJA5"
"Gjc1","GJC1"
"Cyp46a1","CYP46A1"
"Cyp4f14","CYP4F11"
"Cyp4f14","CYP4F12"
"Cyp4f14","CYP4F2"
"Cyp4f14","CYP4F8"
"Cyp4f16","CYP4F8"
"Cyp4v3","CYP4V2"
"Ccn1","CCN1"
"Daam1","DAAM1"
"Dab2ip","DAB2IP"
"Dach2","DACH2"
"Dag1","DAG1"
"Tkfc","TKFC"
"Nbl1","MICOS10-NBL1"
"Nbl1","NBL1"
"Dbp","DBP"
"Dchs1","DCHS1"
"Asap3","ASAP3"
"Asap2","ASAP2"
"Notch1","NOTCH1"
"Ptprj","PTPRJ"
"Whrn","WHRN"
"Cyb5r1","CYB5R1"
"Diaph2","DIAPH2"
"Scn7a","SCN7A"
"Cacnb1","CACNB1"
"Slc49a4","SLC49A4"
"Dlg1","DLG1"
"Dlg4","DLG4"
"Dlg5","DLG5"
"Dlgap1","DLGAP1"
"Dlgap4","DLGAP4"
"Dnm2","DNM2"
"Dnm3","DNM3"
"Dnmt3a","DNMT3A"
"Dop1b","DOP1B"
"Cbarp","CBARP"
"Tnfrsf21","TNFRSF21"
"Glb1l2","GLB1L2"
"Adar","ADAR"
"Col4a5","COL4A5"
"Sufu","SUFU"
"Npy2r","NPY2R"
"Lpo","LPO"
"Npvf","NPVF"
"Lgals9","LGALS9"
"Lgals9","LGALS9B"
"Lgals9","LGALS9C"
"Pcdhgb1","PCDHGB1"
"Pcdhgb4","PCDHGB4"
"Pcdhgb2","PCDHGB2"
"Pcdhgc3","PCDHGC3"
"Pcdhga4","PCDHGA4"
"Pcdhga6","PCDHGA6"
"Pcdhga3","PCDHGA3"
"Pcdhga1","PCDHGA1"
"Pcdhga7","PCDHGA7"
"Pcdhga9","PCDHGA9"
"Pcdhga11","PCDHGA11"
"Pcdhga2","PCDHGA2"
"Pcdhgc4","PCDHGC4"
"Pcdhgc5","PCDHGC5"
"Plcd4","PLCD4"
"Dsc1","DSC1"
"Dtx4","DTX4"
"Dtx3l","DTX3L"
"Dusp15","DUSP15"
"Dusp3","DUSP3"
"Dvl3","DVL3"
"Dyrk3","DYRK3"
"Slc1a1","SLC1A1"
"Nr1d1","NR1D1"
"Ednra","EDNRA"
"Efna3","EFNA3"
"Efnb2","EFNB2"
"Egfr","EGFR"
"Ehd2","EHD2"
"Eif4g3","EIF4G3"
"Ephb3","EPHB3"
"Elfn1","ELFN1"
"Traf3ip1","TRAF3IP1"
"Eln","ELN"
"En2","EN2"
"Opn3","OPN3"
"Lrp4","LRP4"
"Pdlim7","PDLIM7"
"Ep300","EP300"
"Epas1","EPAS1"
"Epb41l4a","EPB41L4A"
"Epha2","EPHA2"
"Ephx1","EPHX1"
"Esyt1","ESYT1"
"Ctsd","CTSD"
"Tnc","TNC"
"Rxra","RXRA"
"Mef2d","MEF2D"
"Mdm2","MDM2"
"Htt","HTT"
"Etv4","ETV4"
"Timp2","TIMP2"
"Hcfc1","HCFC1"
"Etv5","ETV5"
"Tnrc6b","TNRC6B"
"Kctd15","KCTD15"
"Tnfrsf19","TNFRSF19"
"Fam110a","FAM110A"
"Pacsin3","PACSIN3"
"Patl1","PATL1"
"Ap1b1","AP1B1"
"Tns1","TNS1"
"Zfp462","ZNF462"
"Ints1","INTS1"
"Notch3","NOTCH3"
"Boc","BOC"
"Morc2a","MORC2"
"Cpxm1","CPXM1"
"Brd3","BRD3"
"Exoc6b","EXOC6B"
"Ncs1","NCS1"
"Eif4ebp2","EIF4EBP2"
"Lamp1","LAMP1"
"Parp12","PARP12"
"Ap2a1","AP2A1"
"Plec","PLEC"
"Scaf4","SCAF4"
"Atf7","ATF7"
"Kazn","KAZN"
"Creb3l1","CREB3L1"
"Mov10","MOV10"
"Smg7","SMG7"
"Faah","FAAH"
"Rflnb","RFLNB"
"Fam117a","FAM117A"
"Fam131a","FAM131A"
"Fam171a2","FAM171A2"
"Fam184a","FAM184A"
"Insyn2a","INSYN2A"
"Fam20c","FAM20C"
"Lrrc75b","LRRC75B"
"Fam217b","FAM217B"
"Fam219a","FAM219A"
"Fam222a","FAM222A"
"Piezo1","PIEZO1"
"Tent5c","TENT5C"
"Garem1","GAREM1"
"Garem2","GAREM2"
"Ripor1","RIPOR1"
"Ripor2","RIPOR2"
"Tmem255a","TMEM255A"
"Miga2","MIGA2"
"Fasn","FASN"
"Fat1","FAT1"
"Fat3","FAT3"
"Slc27a4","SLC27A4"
"Tnpo2","TNPO2"
"Prss23","PRSS23"
"Myl6b","MYL6B"
"Synj1","SYNJ1"
"Unc5c","UNC5C"
"Sod3","SOD3"
"Lonrf2","LONRF2"
"Fhl3","FHL3"
"Spred1","SPRED1"
"Ctdsp2","CTDSP2"
"Brd4","BRD4"
"Txlnb","TXLNB"
"Ogfr","OGFR"
"Sall2","SALL2"
"Sptbn1","SPTBN1"
"Atn1","ATN1"
"Gga1","GGA1"
"Phrf1","PHRF1"
"Plxdc2","PLXDC2"
"Mrtfa","MRTFA"
"Rab6a","RAB6A"
"Rab6a","RAB6C"
"Rab6a","RAB6D"
"Numa1","NUMA1"
"Eif4g1","EIF4G1"
"Foxo3","FOXO3"
"Myh9","MYH9"
"Por","POR"
"Znfx1","ZNFX1"
"Rtn1","RTN1"
"Ifi44","IFI44"
"Mcl1","MCL1"
"Gtse1","GTSE1"
"Tex261","TEX261"
"Lipa","LIPA"
"Ttll9","TTLL9"
"Nanos1","NANOS1"
"Pbx4","PBX4"
"Nckap5l","NCKAP5L"
"Megf8","MEGF8"
"Cabin1","CABIN1"
"Arid1a","ARID1A"
"Ttc28","TTC28"
"Lrch1","LRCH1"
"Zmiz1","ZMIZ1"
"Natd1","NATD1"
"Lasp1","LASP1"
"Plxnb1","PLXNB1"
"Pum1","PUM1"
"Flna","FLNA"
"Hip1","HIP1"
"Ylpm1","YLPM1"
"Crtc2","CRTC2"
"Fbln1","FBLN1"
"Tbx2","TBX2"
"Arl4c","ARL4C"
"Trim7","TRIM7"
"Zswim5","ZSWIM5"
"Ube2h","UBE2H"
"Midn","MIDN"
"Khsrp","KHSRP"
"Slc27a1","SLC27A1"
"Insm1","INSM1"
"Wnk1","WNK1"
"Tns2","TNS2"
"Klc2","KLC2"
"Ap3m2","AP3M2"
"Tsc2","TSC2"
"Bcar1","BCAR1"
"Ski","SKI"
"Podxl","PODXL"
"Lrrc8c","LRRC8C"
"Meis3","MEIS3"
"Meis3","MEIS3P1"
"Meis3","MEIS3P2"
"Zfp609","ZNF609"
"Lpp","LPP"
"Hmox1","HMOX1"
"Slc2a1","SLC2A1"
"Bptf","BPTF"
"Wdtc1","WDTC1"
"Pprc1","PPRC1"
"Megf10","MEGF10"
"Marcks","MARCKS"
"Wdr81","WDR81"
"Cdt1","CDT1"
"Slc22a23","SLC22A23"
"Zcchc24","ZCCHC24"
"Tbl1xr1","TBL1XR1"
"Hacd4","HACD4"
"Zfp503","ZNF503"
"Adgrg1","ADGRG1"
"Tspan17","TSPAN17"
"Kifc3","KIFC3"
"Ptprn2","PTPRN2"
"Trrap","TRRAP"
"Fgfr2","FGFR2"
"Phf12","PHF12"
"Inppl1","INPPL1"
"Ankrd11","ANKRD11"
"Map1s","MAP1S"
"Greb1l","GREB1L"
"Slc3a2","SLC3A2"
"Ston2","STON2"
"Mark2","MARK2"
"Tmem260","TMEM260"
"Cherp","CHERP"
"Pcdh19","PCDH19"
"Fryl","FRYL"
"Tmem63b","TMEM63B"
"Ehbp1","EHBP1"
"Rnf169","RNF169"
"Ext1","EXT1"
"Gbx2","GBX2"
"Ece1","ECE1"
"Dhx37","DHX37"
"Naf1","NAF1"
"Herc2","HERC2"
"Tmem51","TMEM51"
"Rfng","RFNG"
"Cavin1","CAVIN1"
"Nck2","NCK2"
"Rnpepl1","RNPEPL1"
"Zfhx3","ZFHX3"
"Tsku","TSKU"
"Slc41a1","SLC41A1"
"Slc2a9","SLC2A9"
"Zc3hav1","ZC3HAV1"
"Slc14a2","SLC14A2"
"Zdhhc24","ZDHHC24"
"Nf1","NF1"
"Mn1","MN1"
"Arl8a","ARL8A"
"Edc4","EDC4"
"Frmd3","FRMD3"
"Fgd4","FGD4"
"Fgf12","FGF12"
"Fgl2","FGL2"
"Zfp710","ZNF710"
"Mycl","MYCL"
"Mycl","MYCLP1"
"Wiz","WIZ"
"Pdlim2","PDLIM2"
"Prx","PRX"
"Snapc4","SNAPC4"
"Triobp","TRIOBP"
"Osbpl5","OSBPL5"
"Zfp36l2","ZFP36L2"
"Ssh1","SSH1"
"Xpo6","XPO6"
"Vwa1","VWA1"
"Rbm38","RBM38"
"Dtx3","DTX3"
"Ahnak","AHNAK"
"Tle3","TLE3"
"Gdpd5","GDPD5"
"Bcan","BCAN"
"Sash1","SASH1"
"Fam43a","FAM43A"
"Hgs","HGS"
"Tmem131l","TMEM131L"
"Sox1","SOX1"
"Bud13","BUD13"
"Vcam1","VCAM1"
"Med15","MED15"
"Gpr107","GPR107"
"Shroom2","SHROOM2"
"Mpeg1","MPEG1"
"Socs3","SOCS3"
"Grn","GRN"
"Ifi27","IFI27"
"Ifi27","IFI27L1"
"Ifi27","IFI27L2"
"Ifi27l2a","IFI27"
"Ifi27l2a","IFI27L1"
"Ifi27l2a","IFI27L2"
"Pcolce","PCOLCE"
"Zfand3","ZFAND3"
"Parp3","PARP3"
"Tnrc6c","TNRC6C"
"Vsig10","VSIG10"
"Tesk1","TESK1"
"Mx2","MX1"
"Mx2","MX2"
"Ptprf","PTPRF"
"Thrb","THRB"
"Tubb4a","TUBB4A"
"Itm2c","ITM2C"
"Irf2bp2","IRF2BP2"
"Mapre3","MAPRE3"
"Kidins220","KIDINS220"
"Zic4","ZIC4"
"Npdc1","NPDC1"
"Grm1","GRM1"
"Cpne2","CPNE2"
"Got2","GOT2"
"Per2","PER2"
"Lrrc4","LRRC4"
"Sema6a","SEMA6A"
"Ndst1","NDST1"
"Nell2","NELL2"
"Insyn1","INSYN1"
"Trim9","TRIM9"
"Madd","MADD"
"Vstm2b","VSTM2B"
"Ttyh3","TTYH3"
"Ncam1","NCAM1"
"Slc6a17","SLC6A17"
"Prkce","PRKCE"
"Psd3","PSD3"
"Sdk2","SDK2"
"Mylk","MYLK"
"Sez6","SEZ6"
"Smad7","SMAD7"
"1700017B05Rik","C15orf39"
"Mxra8","MXRA8"
"Ajuba","AJUBA"
"Foxj1","FOXJ1"
"Zc3h3","ZC3H3"
"Sik1","SIK1"
"Stat2","STAT2"
"Relb","RELB"
"Gse1","GSE1"
"Prr12","PRR12"
"Phf21a","PHF21A"
"Arhgef25","ARHGEF25"
"Susd6","SUSD6"
"2310022A10Rik","C19orf47"
"Plxnb2","PLXNB2"
"Pex26","PEX26"
"Ficd","FICD"
"Arhgef17","ARHGEF17"
"Dync1h1","DYNC1H1"
"Serpinb6a","SERPINB6"
"Serpinb8","SERPINB8"
"Tanc2","TANC2"
"Lrp1","LRP1"
"Slc12a9","SLC12A9"
"Foxd2","FOXD2"
"Gpr34","GPR34"
"Clstn1","CLSTN1"
"Fnbp1","FNBP1"
"Zfpm1","ZFPM1"
"Foxo1","FOXO1"
"Foxo6","FOXO6"
"Gli3","GLI3"
"Mtor","MTOR"
"Bmp1","BMP1"
"Fscn1","FSCN1"
"Spon1","SPON1"
"Pknox2","PKNOX2"
"Stk36","STK36"
"Fzd1","FZD1"
"Fzd5","FZD5"
"Fzd3","FZD3"
"Fzd8","FZD8"
"Isg15","ISG15"
"Adgrf2","ADGRF2P"
"Gabbr1","GABBR1"
"Gadd45a","GADD45A"
"Gadd45g","GADD45G"
"Galnt18","GALNT18"
"Gnao1","GNAO1"
"Gnaz","GNAZ"
"B4galt6","B4GALT6"
"Castor2","CASTOR2"
"Castor2","CASTOR3P"
"Ncor2","NCOR2"
"Cemip","CEMIP"
"Tmem94","TMEM94"
"Fam222b","FAM222B"
"Kat2a","KAT2A"
"Ncoa6","NCOA6"
"Nexmif","NEXMIF"
"Cipc","CIPC"
"Jcad","JCAD"
"Helz2","HELZ2"
"Peak1","PEAK1"
"Nr6a1","NR6A1"
"Mmp2","MMP2"
"Gfra2","GFRA2"
"Ghr","GHR"
"Ifi30","IFI30"
"Tsc22d3","TSC22D3"
"Tnfsf18","TNFSF18"
"Hepacam","HEPACAM"
"Bicra","BICRA"
"Gria3","GRIA3"
"Gria4","GRIA4"
"Grid2","GRID2"
"Slc2a6","SLC2A6"
"Gns","GNS"
"Il6st","IL6ST"
"Lrp2","LRP2"
"Gpc1","GPC1"
"Tpra1","TPRA1"
"Gprc5b","GPRC5B"
"Grin2b","GRIN2B"
"Grin3b","GRIN3B"
"Grina","GRINA"
"Grk4","GRK4"
"Gucy1a1","GUCY1A1"
"Gulp1","GULP1"
"Plekha7","PLEKHA7"
"Hbegf","HBEGF"
"Serpind1","SERPIND1"
"Hcn2","HCN2"
"Hdac7","HDAC7"
"Tcf7l1","TCF7L1"
"Dnaaf5","DNAAF5"
"Mroh1","MROH1"
"Hecw2","HECW2"
"Heg1","HEG1"
"Herc6","HERC6"
"Hivep2","HIVEP2"
"Hmbox1","HMBOX1"
"Sparc","SPARC"
"Ttn","TTN"
"S100a10","S100A10"
"Homer3","HOMER3"
"Rdh5","RDH5"
"Cxxc4","CXXC4"
"Ssbp3","SSBP3"
"Nova2","NOVA2"
"Prpf8","PRPF8"
"Zfyve28","ZFYVE28"
"Rgma","RGMA"
"Sox3","SOX3"
"Vasn","VASN"
"Tfdp2","TFDP2"
"Slc4a4","SLC4A4"
"Foxp4","FOXP4"
"Lfng","LFNG"
"Nrp2","NRP2"
"Nacc1","NACC1"
"Pbxip1","PBXIP1"
"Acy3","ACY3"
"Nid1","NID1"
"Fras1","FRAS1"
"Iffo1","IFFO1"
"Ifit2","IFIT2"
"Ifit1","IFIT1"
"Ifit1","IFIT1B"
"Ifit1bl2","IFIT1"
"Ifit1bl2","IFIT1B"
"Ifit3b","IFIT3"
"Ifit3","IFIT3"
"Ifitm2","IFITM2"
"Ifitm2","IFITM3"
"Ifitm3","IFITM3"
"Igf2bp2","IGF2BP2"
"Igfbp2","IGFBP2"
"Igfbp3","IGFBP3"
"Igfbp5","IGFBP5"
"Dzip1","DZIP1"
"Phf2","PHF2"
"Cybrd1","CYBRD1"
"Aifm2","AIFM2"
"Abr","ABR"
"Stk35","STK35"
"Fbln2","FBLN2"
"Tril","TRIL"
"Upp1","UPP1"
"Pdzd4","PDZD4"
"Neu3","NEU3"
"Ubc","UBC"
"Ogdh","OGDH"
"Polr2a","POLR2A"
"Rai14","RAI14"
"Zfp346","ZNF346"
"Pogz","POGZ"
"Tbc1d25","TBC1D25"
"Shisa9","SHISA9"
"Rfx1","RFX1"
"Skida1","SKIDA1"
"Sipa1l2","SIPA1L2"
"Galnt4","GALNT4"
"Galnt4","POC1B-GALNT4"
"Rab11fip5","RAB11FIP5"
"Pcsk6","PCSK6"
"Naa60","NAA60"
"Fgfbp3","FGFBP3"
"Kif13b","KIF13B"
"Rrp12","RRP12"
"Cpm","CPM"
"Chd4","CHD4"
"Nrxn3","NRXN3"
"Snx33","SNX33"
"Zfp687","ZNF687"
"Bbs1","BBS1"
"Tonsl","TONSL"
"Dpp9","DPP9"
"Acsf2","ACSF2"
"Pacs1","PACS1"
"Ehd4","EHD4"
"Atp13a2","ATP13A2"
"Nptxr","NPTXR"
"Gid4","GID4"
"Col4a6","COL4A6"
"Pnpla7","PNPLA7"
"Afap1","AFAP1"
"Spen","SPEN"
"Kmt2a","KMT2A"
"Fhod1","FHOD1"
"Pik3r4","PIK3R4"
"Npc1","NPC1"
"Spock2","SPOCK2"
"Lmf2","LMF2"
"Kcnk1","KCNK1"
"Mast2","MAST2"
"2900026A02Rik","KIAA1671"
"Wfs1","WFS1"
"Elmo1","ELMO1"
"Prob1","PROB1"
"Nup98","NUP98"
"Mybl1","MYBL1"
"Glb1l","GLB1L"
"Zfp628","ZNF628"
"Me3","ME3"
"Map1a","MAP1A"
"Usp20","USP20"
"Igsf9b","IGSF9B"
"Hunk","HUNK"
"Pard3b","PARD3B"
"Atg10","ATG10"
"Mprip","MPRIP"
"Fam193a","FAM193A"
"Epb41l1","EPB41L1"
"Sh3pxd2b","SH3PXD2B"
"Ccdc86","CCDC86"
"Clcn7","CLCN7"
"Nav2","NAV2"
"Setd1b","SETD1B"
"Lmbr1","LMBR1"
"Kmt2d","KMT2D"
"Synpo2","SYNPO2"
"Ddr1","DDR1"
"Emc1","EMC1"
"Fmn2","FMN2"
"Prkg1","PRKG1"
"Slc12a4","SLC12A4"
"Kdm3b","KDM3B"
"Mdc1","MDC1"
"Ulk2","ULK2"
"Impg2","IMPG2"
"Lmln","LMLN"
"Ipo13","IPO13"
"Iqcg","DRC9"
"Iqsec2","IQSEC2"
"Irf1","IRF1"
"Irx5","IRX5"
"Irs2","IRS2"
"Irf9","IRF9"
"Fam234a","FAM234A"
"Itga11","ITGA11"
"Itpk1","ITPK1"
"Itpr1","ITPR1"
"Kdm2a","KDM2A"
"Kdm6b","KDM6B"
"Mapk10","MAPK10"
"Slc12a5","SLC12A5"
"Kcnc1","KCNC1"
"Kcnh2","KCNH2"
"Kcnk2","KCNK2"
"Kcnma1","KCNMA1"
"Kcnq5","KCNQ5"
"Kcnt1","KCNT1"
"Med12","MED12"
"Dennd1a","DENND1A"
"Kcnj4","KCNJ4"
"Klf3","KLF3"
"Klf13","KLF13"
"Klf7","KLF7"
"Enc1","ENC1"
"Mafb","MAFB"
"Kcnc3","KCNC3"
"Zbtb4","ZBTB4"
"Scrib","SCRIB"
"Large1","LARGE1"
"Ldb1","LDB1"
"Kctd12","KCTD12"
"Mboat7","MBOAT7"
"Lgals3bp","LGALS3BP"
"Lgals8","LGALS8"
"Dhx58","DHX58"
"Lhfpl2","LHFPL2"
"Ift172","IFT172"
"Lingo1","LINGO1"
"Agap2","AGAP2"
"Ncln","NCLN"
"Adgrl1","ADGRL1"
"Plppr2","PLPPR2"
"Lrp1b","LRP1B"
"Lrrc8a","LRRC8A"
"Lrrn3","LRRN3"
"Bcam","BCAM"
"Smad3","SMAD3"
"Smad9","SMAD9"
"Magee1","MAGEE1"
"Mdga2","MDGA2"
"Tshr","TSHR"
"Tab2","TAB2"
"Mapk8ip1","MAPK8IP1"
"Myo7a","MYO7A"
"Mark4","MARK4"
"Mcf2l","MCF2L"
"Mcoln1","MCOLN1"
"Slc16a2","SLC16A2"
"Ifih1","IFIH1"
"Atat1","ATAT1"
"Mgat3","MGAT3"
"Mfn2","MFN2"
"Mgrn1","MGRN1"
"Micall1","MICALL1"
"Nr3c2","NR3C2"
"Mitf","MITF"
"Tmem67","TMEM67"
"Myl9","MYL9"
"Kmt2c","KMT2C"
"Kmt2b","KMT2B"
"Kmt2e","KMT2E"
"Mllt1","MLLT1"
"Afdn","AFDN"
"Mnt","MNT"
"Mob3c","MOB3C"
"Mpp2","MPP2"
"Abcc12","ABCC12"
"Mink1","MINK1"
"Gpam","GPAM"
"Metrn","METRN"
"Myo10","MYO10"
"Myo18a","MYO18A"
"Myo1e","MYO1E"
"Rnf213","RNF213"
"Rimklb","RIMKLB"
"Nwd1","NWD1"
"Eda","EDA"
"Scn8a","SCN8A"
"Slc8a2","SLC8A2"
"Slc8a3","SLC8A3"
"Nectin1","NECTIN1"
"Nsmf","NSMF"
"Kirrel3","KIRREL3"
"Asah2","ASAH2"
"Smpd3","SMPD3"
"Cyfip2","CYFIP2"
"Nfasc","NFASC"
"Nfat5","NFAT5"
